dataset,initial_layout,neighbor_method,experiment_num,experiment_name,final_fitness,result_file,neighbor_short
wizard_oz,GA_Exp1,local,7,Geometric_VeryHigh,121733.0,results/sa/wizard_oz/GA_Exp1/results.txt,local
wizard_oz,GA_Exp1,local,8,Geometric_UltraSlow,121733.0,results/sa/wizard_oz/GA_Exp1/results.txt,local
wizard_oz,GA_Exp1,random,1,Geometric_Fast,120638.1,,global
wizard_oz,GA_Exp1,random,2,Geometric_Balanced,120638.1,,global
wizard_oz,GA_Exp1,random,3,Geometric_Slow,120638.1,,global
wizard_oz,GA_Exp1,random,4,Logarithmic_Fast,121733.0,,global
wizard_oz,GA_Exp1,random,5,Logarithmic_Slow,121733.0,,global
wizard_oz,GA_Exp1,random,6,Linear_Aggressive,121733.0,,global
wizard_oz,GA_Exp1,random,7,Geometric_VeryHigh,121733.0,,global
wizard_oz,GA_Exp1,random,8,Geometric_UltraSlow,121733.0,,global
wizard_oz,GA_Exp2,local,1,Geometric_Fast,122030.3,,local
wizard_oz,GA_Exp2,local,2,Geometric_Balanced,122030.3,,local
wizard_oz,GA_Exp2,local,3,Geometric_Slow,122030.3,,local
wizard_oz,GA_Exp2,local,4,Logarithmic_Fast,122030.3,results/sa/wizard_oz/GA_Exp2/results.txt,local
wizard_oz,GA_Exp2,local,5,Logarithmic_Slow,122030.3,results/sa/wizard_oz/GA_Exp2/results.txt,local
wizard_oz,GA_Exp2,local,6,Linear_Aggressive,122030.3,results/sa/wizard_oz/GA_Exp2/results.txt,local
wizard_oz,GA_Exp2,local,7,Geometric_VeryHigh,122030.3,results/sa/wizard_oz/GA_Exp2/results.txt,local
wizard_oz,GA_Exp2,local,8,Geometric_UltraSlow,122030.3,results/sa/wizard_oz/GA_Exp2/results.txt,local
wizard_oz,GA_Exp2,random,1,Geometric_Fast,122030.3,,global
wizard_oz,GA_Exp2,random,2,Geometric_Balanced,122030.3,,global
wizard_oz,GA_Exp2,random,3,Geometric_Slow,121975.4,,global
wizard_oz,GA_Exp2,random,4,Logarithmic_Fast,122030.3,,global
wizard_oz,GA_Exp2,random,5,Logarithmic_Slow,122030.3,,global
wizard_oz,GA_Exp2,random,6,Linear_Aggressive,120763.7,,global
wizard_oz,GA_Exp2,random,7,Geometric_VeryHigh,122030.3,,global
wizard_oz,GA_Exp2,random,8,Geometric_UltraSlow,122030.3,,global
wizard_oz,GA_Exp3,local,1,Geometric_Fast,123341.2,,local
wizard_oz,GA_Exp3,local,2,Geometric_Balanced,123341.2,,local
wizard_oz,GA_Exp3,local,3,Geometric_Slow,123341.2,,local
wizard_oz,GA_Exp3,local,4,Logarithmic_Fast,123341.2,results/sa/wizard_oz/GA_Exp3/results.txt,local
wizard_oz,GA_Exp3,local,5,Logarithmic_Slow,123341.2,results/sa/wizard_oz/GA_Exp3/results.txt,local
wizard_oz,GA_Exp3,local,6,Linear_Aggressive,123341.2,results/sa/wizard_oz/GA_Exp3/results.txt,local
wizard_oz,GA_Exp3,local,7,Geometric_VeryHigh,123341.2,results/sa/wizard_oz/GA_Exp3/results.txt,local
wizard_oz,GA_Exp3,local,8,Geometric_UltraSlow,123341.2,results/sa/wizard_oz/GA_Exp3/results.txt,local
wizard_oz,GA_Exp3,random,1,Geometric_Fast,123341.2,,global
wizard_oz,GA_Exp3,random,2,Geometric_Balanced,123141.8,,global
wizard_oz,GA_Exp3,random,3,Geometric_Slow,120633.7,,global
